CalAgeYounger,CalAgeOlder,RelativeAge
14000.0,150000.0,Rancholabrean
150000.0,1900000.0,Irvingtonian
850000.0,1900000.0,Irvingtonian I
400000.0,850000.0,Irvingtonian II
150000.0,400000.0,Irvingtonian III
1900000.0,4900000.0,Blancan
4620000.0,4900000.0,Blancan I
4100000.0,4620000.0,Blancan II
3000000.0,4100000.0,Blancan III
2500000.0,3000000.0,Blancan IV
1900000.0,2500000.0,Blancan V
4900000.0,9000000.0,Hemphillian
10000.0,14000.0,Early Santarosean
410.0,10000.0,Late Santarosean
-100.0,410.0,Saintaugustinean
410.0,14000.0,Santarosean
